40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162449                     0             LSYHDAAB5BK147175151366         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012012020110121	465212
40000162449                     0             LSYHDAAB4BK133512151352         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012012020110126	465212
40000162449                     0             LSYHDAAB0BK133488151352         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012012020110128	465212
40000162449                     0             LSYHDAAB8BK133514151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012012020110128	465212
40000162449                     0             LSYHDAAB3BK148597151359         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012013020110131	465212
40000162449                     0             LSYHDAAB8BK148594151359         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012013020110131	465212
40000162449                     0             LSYHDAAB5BK133485151367         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012020220110202	465212
40000162449                     0             LSYHDAAB6BK148500151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012020820110208	465212
40000162449                     0             LSYHDAAB8BK148501151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAABXBK148502151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAAB9BK133490151303         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAAB0BK133491151304         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAAB1BK148503151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAAB6BK133480151352         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAAB2BK133492151352         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110216	465212
40000162449                     0             LSYHDAABXBK148595151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110217	465212
40000162449                     0             LSYHDAAB3BK148499151350         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012021020110219	465212
40000162449                     0             LSYHDAABXBK147169151725         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB9BK148538152083         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB3BK148504152741         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB5BK148505152741         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB1BK148517158784         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB2BK148526158785         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110221	465212
40000162449                     0             LSYHDAAB4BK148513158775         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110224	465212
40000162449                     0             LSYHDAAB0BK148511158784         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110224	465212
40000162449                     0             LSYHDAAB4BK148527158785         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAABXBK148516158776         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB9BK148507158713         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB9BK148510158713         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB2BK148509158713         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB0BK148539158713         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB0BK148508158713         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB2BK148512158775         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB6BK148514158775         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
